1629	 1.34
1683	 1.69
1698	 1.74
1796	 1.195
1797	 1.202
2016	 1.411
2066	 1.462
2084	 1.479
2109	 1.500
2182	 1.561
2203	 1.566
2207	 1.571
2282	 1.633
2360	 1.717
2364	 1.726
2396	 1.758
2463	 1.790
2541	 1.859
2567	 1.883
2583	 1.892
2936	 1.1084
2942	 1.1091
2992	 1.1149
3120	 1.1237
3236	 1.1358
3275	 1.1382
3364	 2.30
3366	 1.26
3367	 1.27
3375	 1.34, 2.40
3432	 1.70, 2.97
3433	 1.66
3434	 1.68
3442	 2.103
3460	 2.117
3461	 2.118
3564	 1.149, 2.182
3570	 1.159, 2.187
3609	 1.195, 2.206
3647	 1.246, 2.243
3674	 1.280, 2.272
3742	 1.346
3773	 2.350
3876	 2.438
3886	 2.444
3921	 2.470
3952	 1.486
3965	 1.504, 2.524
3966	 1.505, 2.525
3988	 2.541
3999	 1.519, 2.542
4002	 2.550
4020	 2.563
4061	 1.566, 2.613
4067	 1.571, 2.617
4079	 2.625
4087	 2.629
4094	 2.648
4145	 1.633, 2.692
4257	 1.726, 2.774
4281	 1.758, 2.806
4359	 2.867
4430	 1.818
4480	 1.849
4493	 2.949
4497	 1.859, 2.951
4516	 2.979
4535	 1.893
4546	 2.1000
4561	 1.911
4590	 1.928
4601	 2.1058
4671	 1.962
4676	 2.1122
4710	 2.1135
4755	 2.1155
4819	 1.994, 2.1184
4894	 1.1006, 2.1222
4938	 2.1254
5031	 1.1075
5064	 1.1084, 2.1343
5085	 2.1358
5122	 1.1123, 2.1384
5165	 2.1421
5171	 1.1172
5195	 2.1440
5253	 2.1483
5457	 2.1646
5490	 2.1669
5500	 2.1671
5507	 1.1385, 2.1689
5546	 1.1407
5617	 1.27, 3.34
5657	 2.76, 3.74
5681	 2.90, 3.97
5695	 1.74, 2.109
5707	 2.113
5814	 1.149, 2.182, 3.229
5825	 2.203
5863	 3.307
5866	 1.246, 2.243, 3.312
5894	 1.286, 2.274
5907	 1.303, 2.285
5908	 3.356
5911	 1.308
5977	 2.363
6073	 3.553
6084	 3.561
6095	 1.448
6104	 2.461
6105	 1.452, 2.463, 3.580
6164	 1.483, 2.497, 3.611
