35236	29359
32232	23005
22461	16858
27285	20779
35785	29755
27280	12442
11547	6184
4020	2153
23440	17664
11549	8742
13739	10490
23445	20036
69426	66175
40721	32412
40721	35100
40721	38275
16349	7693
55298	49820
26576	23152
10897	8191
7512	2969
3999	550
3999	2132
32528	23332
32528	29798
19154	1596
19154	5592
19154	10779
48891	35120
48891	31922
48891	35119
48891	43390
39327	33336
39327	36653
39667	27844
32657	23480
32657	26912
25067	18722
43877	41101
32658	23481
32658	26913
32658	29920
42242	21290
42242	30718
35438	19616
35438	22963
35438	26326
35438	29522
35438	32188
12707	6968
12707	9749
12103	6614
30748	18323
30748	21326
30748	24538
30748	27871
13603	5269
13603	7716
13603	10401
23847	20536
23844	20544
27373	20876
27373	24020
58398	55045
27281	23939
3773	1940
17656	11798
17656	14946
21102	15779
11544	3967
11544	8739
25286	18953
40357	25305
40357	28731
40357	31406
40357	34525
40357	37860
19973	6326
19973	11730
19973	14877
51840	46552
16709	8057
16709	10726
16709	13990
16708	10725
38979	32810
38979	36167
17382	6193
17382	8763
17382	11568
25446	16742
25446	19040
25446	22268
16258	10247
25112	16393
25112	18752
43984	23352
43984	26778
43984	29821
43984	32542
43984	35856
43984	38774
43984	41202
69085	62455
69085	65933
43699	23017
43699	29563
40353	34516
28844	16742
28844	19040
28844	22268
28844	25446
31673	16858
31673	22461
31673	25761
12016	9224
2109	530
72483	68161
8206	1679
8206	3430
8206	5681
11768	8957
43509	40829
35788	23285
35788	26695
35788	29756
7880	5380
52464	36217
52464	39039
52464	41498
52464	44305
52464	47135
22980	17206
22980	19635
46005	37981
63143	54958
63143	None
20745	17866
17032	14371
40217	28583
52646	49819
17038	14377
17039	8351
17039	11055
9251	6554
52486	44318
52486	47148
52486	49688
38434	32119
38433	35362
7861	5370
64054	52997
64054	55689
64054	None
22901	17101
72894	65530
22904	14450
22904	19561
21613	16217
16819	1596
16819	5592
16819	10779
42632	31113
42632	34131
42632	37504
42632	40015
26042	19420
26042	22693
65806	None
65806	62341
4819	1078
4819	2777
16814	5585
36446	30238
42491	37337
42491	39885
11617	8796
69175	66014
11611	566
9418	4389
69179	62503
45440	37396
45440	39913
45440	42514
54023	51208
53607	45484
10416	5285
10416	7739
55299	49821
10145	1172
10145	5031
10145	7402
54020	18959
54020	51195
10410	7724
20528	9372
20528	12201
20528	15275
20528	17783
10148	5030
44241	30086
44241	32807
45849	25305
45849	28731
45849	31406
45849	34525
45849	37860
45849	40357
46868	29879
17729	4319
17729	9306
17729	15187
63118	None
9631	6857
40982	29577
40982	35504
40982	38563
9321	6629
9326	4331
9326	6636
9327	6637
9637	6859
16925	10954
16925	14250
38502	35429
33071	12430
33071	15440
33071	17877
33071	20783
33071	23923
33071	27271
16921	10949
33077	17899
33077	23945
33077	27299
37009	27839
37009	33679
18855	16504
18855	18856
33079	6789
33079	9570
33079	12449
45316	7405
45316	16095
45316	21516
45316	28031
45316	37212
6207	550
6207	2132
6207	3999
66432	63053
36842	12898
36842	24343
36843	21156
42124	33562
36024	32679
